batter,runs,balls_faced,matches_batting,dismissals,batting_average,batting_strike_rate,total_balls,dot_balls,boundaries,fours,sixes,dot_ball_percentage,boundary_percentage,runs_per_boundary,thirties,fifties,hundreds
HE van der Dussen,22,25,3,2,11.0,88.0,25,12,2,2,0,48.0,8.0,11.0,0,0,0
HF Gurney,1,5,1,0,1.0,20.0,5,4,0,0,0,80.0,0.0,1.0,0,0,0
HH Gibbs,886,837,36,32,27.6875,105.8542413381123,837,410,114,83,31,48.98446833930705,13.620071684587815,7.771929824561403,5,6,0
HH Pandya,2534,1814,128,89,28.471910112359552,139.69128996692393,1814,656,326,189,137,36.163175303197356,17.971334068357223,7.773006134969325,20,10,0
HM Amla,577,418,16,13,44.38461538461539,138.03827751196172,418,150,81,60,21,35.88516746411483,19.37799043062201,7.1234567901234565,1,3,2
HR Shokeen,66,67,5,3,22.0,98.50746268656717,67,33,9,9,0,49.25373134328358,13.432835820895523,7.333333333333333,0,0,0
HV Patel,249,214,37,26,9.576923076923077,116.35514018691589,214,99,31,16,15,46.26168224299065,14.485981308411214,8.03225806451613,2,0,0
Harbhajan Singh,833,636,88,56,14.875,130.9748427672956,636,285,121,79,42,44.81132075471698,19.025157232704405,6.884297520661157,5,1,0
Harmeet Singh,18,12,4,2,9.0,150.0,12,5,3,3,0,41.66666666666667,25.0,6.0,0,0,0
Harpreet Brar,233,201,24,12,19.416666666666668,115.92039800995025,201,85,28,19,9,42.28855721393035,13.930348258706468,8.321428571428571,0,0,0
Harpreet Singh,123,119,8,6,20.5,103.36134453781514,119,49,13,10,3,41.17647058823529,10.92436974789916,9.461538461538462,1,0,0
Harshit Rana,2,3,3,2,1.0,66.66666666666666,3,2,0,0,0,66.66666666666666,0.0,2.0,0,0,0
I Malhotra,7,4,1,0,7.0,175.0,4,0,1,1,0,0.0,25.0,7.0,0,0,0
I Sharma,57,71,21,7,8.142857142857142,80.28169014084507,71,39,6,4,2,54.929577464788736,8.450704225352112,9.5,0,0,0
I Udana,15,11,4,3,5.0,136.36363636363635,11,4,2,1,1,36.36363636363637,18.181818181818183,7.5,0,0,0
IC Pandey,0,2,1,1,0.0,0.0,2,2,0,0,0,100.0,0.0,0.0,0,0,0
IK Pathan,1150,985,82,53,21.69811320754717,116.75126903553299,985,373,126,88,38,37.86802030456853,12.791878172588833,9.126984126984127,9,1,0
IR Jaggi,76,100,7,5,15.2,76.0,100,51,6,6,0,51.0,6.0,12.666666666666666,0,0,0
IS Sodhi,7,18,2,2,3.5,38.88888888888889,18,11,0,0,0,61.111111111111114,0.0,7.0,0,0,0
Imran Tahir,33,37,8,4,8.25,89.1891891891892,37,21,5,5,0,56.75675675675676,13.513513513513514,6.6,0,0,0
Iqbal Abdulla,88,86,13,1,88.0,102.32558139534885,86,36,10,9,1,41.86046511627907,11.627906976744185,8.8,1,0,0
Ishan Kishan,2644,1991,99,91,29.054945054945055,132.79758915118032,1991,804,374,255,119,40.38171772978403,18.784530386740332,7.06951871657754,22,16,0
J Arunkumar,23,24,3,3,7.666666666666667,95.83333333333334,24,16,5,5,0,66.66666666666666,20.833333333333336,4.6,0,0,0
J Botha,409,364,28,22,18.59090909090909,112.36263736263736,364,138,44,39,5,37.91208791208791,12.087912087912088,9.295454545454545,3,1,0
J Fraser-McGurk,330,150,9,8,41.25,220.00000000000003,150,61,60,32,28,40.666666666666664,40.0,5.5,0,4,0
J Suchith,70,62,9,4,17.5,112.90322580645163,62,30,9,6,3,48.38709677419355,14.516129032258066,7.777777777777778,1,0,0
J Syed Mohammad,29,27,5,2,14.5,107.40740740740742,27,11,4,4,0,40.74074074074074,14.814814814814813,7.25,0,0,0
J Theron,10,13,4,2,5.0,76.92307692307693,13,6,1,1,0,46.15384615384615,7.6923076923076925,10.0,0,0,0
J Yadav,40,38,4,2,20.0,105.26315789473684,38,14,3,2,1,36.84210526315789,7.894736842105263,13.333333333333334,0,0,0
JA Morkel,975,712,67,40,24.375,136.93820224719101,712,252,116,61,55,35.39325842696629,16.292134831460675,8.405172413793103,4,3,0
JA Richardson,17,27,3,3,5.666666666666667,62.96296296296296,27,17,2,2,0,62.96296296296296,7.4074074074074066,8.5,0,0,0
JC Archer,199,132,23,13,15.307692307692308,150.75757575757575,132,47,25,11,14,35.60606060606061,18.939393939393938,7.96,0,0,0
JC Buttler,3583,2519,106,96,37.322916666666664,142.23898372369987,2519,1002,517,356,161,39.77768955934895,20.52401746724891,6.93036750483559,15,19,7
JD Ryder,604,466,29,29,20.82758620689655,129.6137339055794,466,200,88,69,19,42.91845493562232,18.88412017167382,6.863636363636363,4,4,0
JD Unadkat,197,170,27,14,14.071428571428571,115.88235294117648,170,70,23,16,7,41.17647058823529,13.529411764705882,8.565217391304348,0,0,0
JDP Oram,106,110,11,8,13.25,96.36363636363636,110,50,11,6,5,45.45454545454545,10.0,9.636363636363637,1,0,0
JDS Neesham,92,93,10,8,11.5,98.9247311827957,93,40,8,6,2,43.01075268817204,8.60215053763441,11.5,0,0,0
JE Root,10,15,1,1,10.0,66.66666666666666,15,8,1,1,0,53.333333333333336,6.666666666666667,10.0,0,0,0
JE Taylor,3,4,2,0,3.0,75.0,4,2,0,0,0,50.0,0.0,3.0,0,0,0
JEC Franklin,327,309,16,11,29.727272727272727,105.8252427184466,309,124,34,25,9,40.1294498381877,11.003236245954692,9.617647058823529,2,1,0
JH Kallis,2427,2291,95,89,27.269662921348313,105.93627237014405,2291,982,299,255,44,42.8633784373636,13.051069402007856,8.117056856187292,17,17,0
JJ Bumrah,68,80,26,8,8.5,85.0,80,37,6,5,1,46.25,7.5,11.333333333333334,0,0,0
JJ Roy,614,460,21,19,32.31578947368421,133.47826086956522,460,197,96,75,21,42.82608695652174,20.869565217391305,6.395833333333333,6,4,0
JJ van der Wath,18,17,3,2,9.0,105.88235294117648,17,8,2,1,1,47.05882352941176,11.76470588235294,9.0,0,0,0
JL Denly,0,1,1,1,0.0,0.0,1,1,0,0,0,100.0,0.0,0.0,0,0,0
JL Pattinson,15,13,2,1,15.0,115.38461538461537,13,4,2,2,0,30.76923076923077,15.384615384615385,7.5,0,0,0
JM Bairstow,1589,1132,50,48,33.104166666666664,140.37102473498234,1132,462,235,166,69,40.812720848056536,20.759717314487634,6.761702127659574,11,9,2
JM Kemp,26,25,2,2,13.0,104.0,25,11,2,1,1,44.0,8.0,13.0,0,0,0
JM Sharma,730,501,36,32,22.8125,145.70858283433134,501,192,98,53,45,38.32335329341318,19.560878243512974,7.448979591836735,8,0,0
JO Holder,259,217,27,21,12.333333333333334,119.35483870967742,217,98,31,13,18,45.16129032258064,14.285714285714285,8.35483870967742,1,0,0
JP Behrendorff,6,9,2,0,6.0,66.66666666666666,9,3,0,0,0,33.33333333333333,0.0,6.0,0,0,0
JP Duminy,2029,1680,75,49,41.40816326530612,120.77380952380952,1680,562,205,126,79,33.45238095238095,12.202380952380953,9.897560975609757,13,14,0
JP Faulkner,527,406,45,28,18.821428571428573,129.80295566502463,406,145,59,36,23,35.714285714285715,14.532019704433496,8.932203389830509,6,0,0
JPR Scantlebury-Searles,8,6,2,1,8.0,133.33333333333331,6,3,1,0,1,50.0,16.666666666666664,8.0,0,0,0
JR Hazlewood,19,29,6,0,19.0,65.51724137931035,29,14,1,1,0,48.275862068965516,3.4482758620689653,19.0,0,0,0
JR Hopes,417,314,19,17,24.529411764705884,132.80254777070064,314,120,60,49,11,38.21656050955414,19.10828025477707,6.95,0,4,0
JR Philippe,78,80,5,4,19.5,97.5,80,38,10,9,1,47.5,12.5,7.8,2,0,0
Jaskaran Singh,8,11,4,2,4.0,72.72727272727273,11,5,0,0,0,45.45454545454545,0.0,8.0,0,0,0
Joginder Sharma,36,30,5,4,9.0,120.0,30,10,3,1,2,33.33333333333333,10.0,12.0,0,0,0
K Goel,218,239,16,14,15.571428571428571,91.21338912133892,239,130,26,17,9,54.39330543933054,10.87866108786611,8.384615384615385,1,0,0
K Gowtham,247,159,27,18,13.722222222222221,155.34591194968556,159,62,32,15,17,38.9937106918239,20.125786163522015,7.71875,1,0,0
K Kartikeya,9,13,2,2,4.5,69.23076923076923,13,7,1,1,0,53.84615384615385,7.6923076923076925,9.0,0,0,0
K Rabada,206,207,28,16,12.875,99.51690821256038,207,101,24,16,8,48.792270531400966,11.594202898550725,8.583333333333334,1,0,0
K Upadhyay,12,9,2,0,12.0,133.33333333333331,9,3,1,0,1,33.33333333333333,11.11111111111111,12.0,0,0,0
K Yadav,0,4,1,0,0.0,0.0,4,4,0,0,0,100.0,0.0,0.0,0,0,0
KA Jamieson,65,55,7,3,21.666666666666668,118.18181818181819,55,25,8,5,3,45.45454545454545,14.545454545454545,8.125,0,0,0
KA Maharaj,1,2,1,1,1.0,50.0,2,1,0,0,0,50.0,0.0,1.0,0,0,0
KA Pollard,3437,2447,168,129,26.643410852713178,140.45770331017573,2447,967,445,221,224,39.51777686963629,18.185533306089088,7.723595505617977,20,16,0
KAJ Roach,10,9,1,1,10.0,111.11111111111111,9,3,1,1,0,33.33333333333333,11.11111111111111,10.0,0,0,0
KB Arun Karthik,51,53,8,5,10.2,96.22641509433963,53,24,5,4,1,45.28301886792453,9.433962264150944,10.2,0,0,0
KC Cariappa,24,21,5,3,8.0,114.28571428571428,21,8,2,0,2,38.095238095238095,9.523809523809524,12.0,0,0,0
KC Sangakkara,1687,1424,68,69,24.44927536231884,118.4691011235955,1424,552,222,195,27,38.764044943820224,15.589887640449437,7.599099099099099,13,10,0
KD Karthik,4843,3687,233,189,25.624338624338623,131.35340385136968,3687,1329,627,466,161,36.04556550040684,17.005695687550855,7.7240829346092506,42,22,0
KH Pandya,1647,1287,107,74,22.256756756756758,127.97202797202797,1287,501,205,144,61,38.92773892773892,15.92851592851593,8.034146341463414,19,1,0
KJ Abbott,13,8,3,1,13.0,162.5,8,3,1,0,1,37.5,12.5,13.0,0,0,0
KK Ahmed,1,7,5,5,0.2,14.285714285714285,7,6,0,0,0,85.71428571428571,0.0,1.0,0,0,0
KK Cooper,116,70,12,9,12.88888888888889,165.71428571428572,70,29,17,9,8,41.42857142857143,24.285714285714285,6.823529411764706,1,0,0
KK Nair,1496,1192,68,65,23.015384615384615,125.503355704698,1192,470,200,161,39,39.42953020134228,16.778523489932887,7.48,10,10,0
KL Nagarkoti,22,34,7,4,5.5,64.70588235294117,34,17,1,1,0,50.0,2.941176470588235,22.0,0,0,0
KL Rahul,4689,3578,122,106,44.235849056603776,131.05086640581328,3578,1278,587,400,187,35.718278367803244,16.405813303521523,7.9880749574105625,19,37,4
KM Asif,0,2,1,1,0.0,0.0,2,2,0,0,0,100.0,0.0,0.0,0,0,0
KM Jadhav,1208,1012,81,54,22.37037037037037,119.36758893280633,1012,375,142,102,40,37.05533596837945,14.031620553359684,8.507042253521126,7,4,0
KMA Paul,18,26,5,4,4.5,69.23076923076923,26,17,2,1,1,65.38461538461539,7.6923076923076925,9.0,0,0,0
KMDN Kulasekara,5,3,1,0,5.0,166.66666666666669,3,1,1,1,0,33.33333333333333,33.33333333333333,5.0,0,0,0
KP Appanna,2,4,3,1,2.0,50.0,4,2,0,0,0,50.0,0.0,2.0,0,0,0
KP Pietersen,1001,758,36,29,34.51724137931034,132.05804749340368,758,290,131,91,40,38.258575197889186,17.282321899736147,7.641221374045801,10,4,1
KR Mayers,379,276,13,13,29.153846153846153,137.31884057971016,276,141,60,38,22,51.08695652173913,21.73913043478261,6.316666666666666,1,4,0
KR Sen,0,3,1,0,0.0,0.0,3,3,0,0,0,100.0,0.0,0.0,0,0,0
KS Bharat,199,168,8,7,28.428571428571427,118.45238095238095,168,62,20,12,8,36.904761904761905,11.904761904761903,9.95,2,1,0
KS Sharma,16,25,3,3,5.333333333333333,64.0,25,12,1,1,0,48.0,4.0,16.0,0,0,0
KS Williamson,2132,1734,76,59,36.13559322033898,122.95271049596307,1734,622,251,187,64,35.870818915801614,14.47520184544406,8.49402390438247,10,18,0
KV Sharma,351,306,39,25,14.04,114.70588235294117,306,125,37,20,17,40.849673202614376,12.091503267973856,9.486486486486486,2,0,0
KW Richardson,36,39,4,3,12.0,92.3076923076923,39,17,3,2,1,43.58974358974359,7.6923076923076925,12.0,0,0,0
Kamran Akmal,128,78,6,4,32.0,164.1025641025641,78,33,21,13,8,42.30769230769231,26.923076923076923,6.095238095238095,0,1,0
Kamran Khan,3,5,1,1,3.0,60.0,5,3,0,0,0,60.0,0.0,3.0,0,0,0
Karanveer Singh,12,17,4,1,12.0,70.58823529411765,17,9,1,1,0,52.94117647058824,5.88235294117647,12.0,0,0,0
Kartik Tyagi,13,16,6,4,3.25,81.25,16,7,1,1,0,43.75,6.25,13.0,0,0,0
Kuldeep Yadav,183,224,32,10,18.3,81.69642857142857,224,116,19,16,3,51.78571428571429,8.482142857142858,9.631578947368421,1,0,0
Kumar Kushagra,3,7,3,3,1.0,42.857142857142854,7,5,0,0,0,71.42857142857143,0.0,3.0,0,0,0
L Ablish,0,2,1,0,0.0,0.0,2,2,0,0,0,100.0,0.0,0.0,0,0,0
L Balaji,36,50,13,7,5.142857142857143,72.0,50,29,3,2,1,57.99999999999999,6.0,12.0,0,0,0
L Ronchi,34,37,5,3,11.333333333333334,91.8918918918919,37,26,7,6,1,70.27027027027027,18.91891891891892,4.857142857142857,0,0,0
L Wood,9,3,1,0,9.0,300.0,3,0,1,0,1,0.0,33.33333333333333,9.0,0,0,0
LA Carseldine,81,71,5,3,27.0,114.08450704225352,71,31,11,11,0,43.66197183098591,15.492957746478872,7.363636363636363,1,0,0
LA Pomersbach,302,251,16,11,27.454545454545453,120.3187250996016,251,109,38,25,13,43.42629482071713,15.139442231075698,7.947368421052632,2,1,0
LB Williams,1,2,1,0,1.0,50.0,2,1,0,0,0,50.0,0.0,1.0,0,0,0
LE Plunkett,1,3,2,1,1.0,33.33333333333333,3,2,0,0,0,66.66666666666666,0.0,1.0,0,0,0
LH Ferguson,68,48,7,4,17.0,141.66666666666669,48,14,8,6,2,29.166666666666668,16.666666666666664,8.5,0,0,0
LJ Wright,106,63,5,4,26.5,168.25396825396825,63,22,19,16,3,34.92063492063492,30.158730158730158,5.578947368421052,2,0,0
LMP Simmons,1079,878,29,27,39.96296296296296,122.89293849658314,878,402,153,109,44,45.78587699316628,17.425968109339408,7.052287581699346,5,11,1
LPC Silva,40,27,3,2,20.0,148.14814814814815,27,10,6,5,1,37.03703703703704,22.22222222222222,6.666666666666667,0,0,0
LR Shukla,405,358,33,29,13.96551724137931,113.12849162011173,358,152,49,33,16,42.45810055865922,13.687150837988826,8.26530612244898,3,0,0
LRPL Taylor,1017,847,54,41,24.804878048780488,120.07083825265643,847,334,112,66,46,39.43329397874852,13.223140495867769,9.080357142857142,8,3,0
LS Livingstone,939,609,39,33,28.454545454545453,154.1871921182266,609,225,132,66,66,36.94581280788177,21.67487684729064,7.113636363636363,5,6,0
Lalit Yadav,305,301,21,15,20.333333333333332,101.32890365448506,301,129,34,27,7,42.857142857142854,11.295681063122924,8.970588235294118,3,0,0
Liton Das,4,4,1,1,4.0,100.0,4,3,1,1,0,75.0,25.0,4.0,0,0,0
M Ashwin,35,50,12,8,4.375,70.0,50,27,3,2,1,54.0,6.0,11.666666666666666,0,0,0
M Jansen,66,71,12,8,8.25,92.95774647887323,71,34,7,5,2,47.88732394366197,9.859154929577464,9.428571428571429,0,0,0
M Kaif,259,258,22,16,16.1875,100.3875968992248,258,120,28,22,6,46.51162790697674,10.852713178294573,9.25,2,0,0
M Kartik,113,109,14,7,16.142857142857142,103.6697247706422,109,32,8,7,1,29.357798165137616,7.339449541284404,14.125,0,0,0
M Klinger,73,78,4,4,18.25,93.58974358974359,78,36,9,9,0,46.15384615384615,11.538461538461538,8.11111111111111,0,0,0
M Manhas,514,486,38,24,21.416666666666668,105.76131687242798,486,197,53,43,10,40.534979423868315,10.905349794238683,9.69811320754717,5,0,0
M Markande,48,44,10,3,16.0,109.09090909090908,44,20,6,5,1,45.45454545454545,13.636363636363635,8.0,0,0,0
M Morkel,126,93,20,11,11.454545454545455,135.48387096774192,93,35,16,11,5,37.634408602150536,17.20430107526882,7.875,0,0,0
M Muralitharan,20,30,9,6,3.3333333333333335,66.66666666666666,30,17,1,1,0,56.666666666666664,3.3333333333333335,20.0,0,0,0
M Ntini,11,19,2,1,11.0,57.89473684210527,19,15,2,2,0,78.94736842105263,10.526315789473683,5.5,0,0,0
M Prasidh Krishna,9,24,7,2,4.5,37.5,24,15,0,0,0,62.5,0.0,9.0,0,0,0
M Rawat,55,70,11,5,11.0,78.57142857142857,70,34,5,4,1,48.57142857142857,7.142857142857142,11.0,0,0,0
M Shahrukh Khan,553,413,37,25,22.12,133.89830508474577,413,170,72,35,37,41.162227602905574,17.433414043583532,7.680555555555555,3,1,0
M Theekshana,7,7,2,1,7.0,100.0,7,5,1,0,1,71.42857142857143,14.285714285714285,7.0,0,0,0
M Vijay,2619,2208,105,97,27.0,118.61413043478262,2208,987,338,247,91,44.70108695652174,15.307971014492756,7.7485207100591715,21,13,2
M Vohra,1083,863,51,48,22.5625,125.49246813441484,863,393,147,104,43,45.538818076477405,17.033603707995365,7.36734693877551,12,3,0
M de Lange,1,2,1,1,1.0,50.0,2,1,0,0,0,50.0,0.0,1.0,0,0,0
MA Agarwal,2669,2081,121,116,23.00862068965517,128.25564632388276,2081,833,363,265,98,40.02883229216722,17.443536761172513,7.352617079889807,18,13,1
MA Khote,24,22,3,2,12.0,109.09090909090908,22,10,3,2,1,45.45454545454545,13.636363636363635,8.0,0,0,0
MA Starc,105,109,16,8,13.125,96.3302752293578,109,46,11,11,0,42.201834862385326,10.091743119266056,9.545454545454545,0,0,0
MA Wood,12,10,3,2,6.0,120.0,10,6,2,1,1,60.0,20.0,6.0,0,0,0
MC Henriques,1000,801,54,38,26.31578947368421,124.84394506866417,801,284,115,87,28,35.45568039950062,14.357053682896378,8.695652173913043,7,5,0
MC Juneja,125,134,7,7,17.857142857142858,93.28358208955224,134,54,12,11,1,40.298507462686565,8.955223880597014,10.416666666666666,1,0,0
MD Mishra,237,213,17,15,15.8,111.26760563380283,213,102,32,24,8,47.88732394366197,15.023474178403756,7.40625,2,0,0
MD Shanaka,26,26,3,2,13.0,100.0,26,12,3,2,1,46.15384615384615,11.538461538461538,8.666666666666666,0,0,0
MDKJ Perera,14,13,2,2,7.0,107.6923076923077,13,8,3,3,0,61.53846153846154,23.076923076923077,4.666666666666667,0,0,0
MEK Hussey,1977,1648,58,52,38.01923076923077,119.96359223300972,1648,643,250,198,52,39.01699029126214,15.169902912621358,7.908,12,15,1
MF Maharoof,177,124,14,10,17.7,142.74193548387098,124,44,21,12,9,35.483870967741936,16.93548387096774,8.428571428571429,1,0,0
MG Bracewell,58,49,4,2,29.0,118.36734693877551,49,17,7,6,1,34.69387755102041,14.285714285714285,8.285714285714286,0,0,0
MG Johnson,167,168,28,14,11.928571428571429,99.40476190476191,168,80,17,10,7,47.61904761904761,10.119047619047619,9.823529411764707,0,0,0
MJ Clarke,98,96,6,6,16.333333333333332,102.08333333333333,96,43,12,12,0,44.79166666666667,12.5,8.166666666666666,1,0,0
MJ Guptill,271,197,13,12,22.583333333333332,137.56345177664974,197,88,39,24,15,44.67005076142132,19.796954314720814,6.948717948717949,4,1,0
MJ Lumb,278,198,12,10,27.8,140.4040404040404,198,96,51,45,6,48.484848484848484,25.757575757575758,5.450980392156863,4,1,0
MJ McClenaghan,85,73,20,11,7.7272727272727275,116.43835616438356,73,39,12,5,7,53.42465753424658,16.43835616438356,7.083333333333333,0,0,0
MJ Santner,70,77,11,6,11.666666666666666,90.9090909090909,77,38,7,4,3,49.35064935064935,9.090909090909092,10.0,0,0,0
MJ Suthar,1,2,1,1,1.0,50.0,2,1,0,0,0,50.0,0.0,1.0,0,0,0
MK Lomror,527,389,35,30,17.566666666666666,135.47557840616966,389,136,63,33,30,34.96143958868895,16.195372750642672,8.365079365079366,6,1,0
MK Pandey,3859,3288,158,133,29.015037593984964,117.36618004866179,3288,1247,446,335,111,37.92579075425791,13.564476885644769,8.652466367713005,29,22,1
MK Tiwary,1695,1489,83,61,27.78688524590164,113.83478844862324,1489,571,196,156,40,38.34788448623237,13.163196776359973,8.64795918367347,18,7,0
ML Hayden,1107,839,32,28,39.535714285714285,131.94278903456495,839,367,165,121,44,43.74255065554231,19.66626936829559,6.709090909090909,9,8,0
MM Ali,1162,849,57,49,23.714285714285715,136.86690223792698,849,346,162,95,67,40.753828032979975,19.081272084805654,7.172839506172839,9,6,0
MM Patel,39,41,12,5,7.8,95.1219512195122,41,18,5,5,0,43.90243902439025,12.195121951219512,7.8,0,0,0
MM Sharma,124,137,28,16,7.75,90.51094890510949,137,69,13,9,4,50.36496350364964,9.48905109489051,9.538461538461538,0,0,0
MN Samuels,161,174,14,12,13.416666666666666,92.52873563218391,174,86,16,9,7,49.42528735632184,9.195402298850574,10.0625,2,0,0
MN van Wyk,167,135,5,3,55.666666666666664,123.7037037037037,135,44,20,19,1,32.592592592592595,14.814814814814813,8.35,2,1,0
MP Stoinis,1866,1366,88,67,27.850746268656717,136.60322108345534,1366,501,241,150,91,36.67642752562226,17.642752562225475,7.742738589211618,11,9,1
MR Marsh,665,532,36,32,20.78125,125.0,532,227,86,48,38,42.66917293233083,16.165413533834585,7.732558139534884,4,3,0
MS Bisla,798,737,39,37,21.56756756756757,108.27679782903662,737,375,116,93,23,50.88195386702849,15.739484396200815,6.879310344827586,2,4,0
MS Dhoni,5243,3947,228,149,35.18791946308725,132.8350646060299,3947,1423,615,363,252,36.05269825183684,15.581454269065112,8.52520325203252,42,24,0
MS Gony,99,76,15,9,11.0,130.26315789473685,76,39,14,6,8,51.31578947368421,18.421052631578945,7.071428571428571,1,0,0
MS Wade,183,185,14,13,14.076923076923077,98.91891891891892,185,93,25,23,2,50.27027027027027,13.513513513513514,7.32,2,0,0
MV Boucher,394,318,23,15,26.266666666666666,123.89937106918238,318,116,45,32,13,36.477987421383645,14.150943396226415,8.755555555555556,5,1,0
MW Short,117,99,6,6,19.5,118.18181818181819,99,52,19,15,4,52.52525252525253,19.19191919191919,6.157894736842105,2,0,0
Mandeep Singh,1706,1418,97,85,20.070588235294117,120.31029619181946,1418,555,214,176,38,39.13963328631876,15.091678420310295,7.97196261682243,12,6,0
Mashrafe Mortaza,2,2,1,0,2.0,100.0,2,1,0,0,0,50.0,0.0,2.0,0,0,0
Mayank Dagar,0,1,1,0,0.0,0.0,1,1,0,0,0,100.0,0.0,0.0,0,0,0
Misbah-ul-Haq,117,82,8,9,13.0,142.6829268292683,82,31,16,10,6,37.80487804878049,19.51219512195122,7.3125,2,0,0
Mohammad Ashraful,2,12,1,1,2.0,16.666666666666664,12,10,0,0,0,83.33333333333334,0.0,2.0,0,0,0
Mohammad Asif,3,6,2,2,1.5,50.0,6,3,0,0,0,50.0,0.0,3.0,0,0,0
Mohammad Hafeez,64,84,8,8,8.0,76.19047619047619,84,51,9,7,2,60.71428571428571,10.714285714285714,7.111111111111111,0,0,0
Mohammad Nabi,221,157,19,17,13.0,140.76433121019107,157,60,30,18,12,38.21656050955414,19.10828025477707,7.366666666666666,1,0,0
Mohammed Shami,74,82,23,13,5.6923076923076925,90.2439024390244,82,41,8,6,2,50.0,9.75609756097561,9.25,0,0,0
Mohammed Siraj,109,122,20,10,10.9,89.34426229508196,122,68,14,10,4,55.73770491803278,11.475409836065573,7.785714285714286,0,0,0
Mohit Rathee,1,2,1,0,1.0,50.0,2,1,0,0,0,50.0,0.0,1.0,0,0,0
Mohsin Khan,25,27,5,2,12.5,92.5925925925926,27,15,3,2,1,55.55555555555556,11.11111111111111,8.333333333333334,0,0,0
Mujeeb Ur Rahman,12,15,6,3,4.0,80.0,15,9,2,2,0,60.0,13.333333333333334,6.0,0,0,0
Mukesh Choudhary,6,6,2,0,6.0,100.0,6,3,1,1,0,50.0,16.666666666666664,6.0,0,0,0
Mukesh Kumar,10,20,5,1,10.0,50.0,20,10,0,0,0,50.0,0.0,10.0,0,0,0
Mustafizur Rahman,13,23,6,1,13.0,56.52173913043478,23,15,1,0,1,65.21739130434783,4.3478260869565215,13.0,0,0,0
N Jagadeesan,162,155,10,9,18.0,104.51612903225806,155,73,23,21,2,47.096774193548384,14.838709677419354,7.043478260869565,3,0,0
N Pooran,1769,1143,72,56,31.589285714285715,154.7681539807524,1143,421,240,113,127,36.832895888014,20.99737532808399,7.370833333333334,21,9,0
N Rana,2636,2015,101,94,28.04255319148936,130.81885856079404,2015,835,366,234,132,41.43920595533499,18.16377171215881,7.202185792349726,17,18,0
N Saini,140,143,10,11,12.727272727272727,97.9020979020979,143,68,16,16,0,47.55244755244755,11.188811188811188,8.75,1,1,0
N Wadhera,350,261,16,15,23.333333333333332,134.09961685823754,261,107,50,32,18,40.99616858237548,19.157088122605366,7.0,3,2,0
ND Doshi,0,13,1,1,0.0,0.0,13,13,0,0,0,100.0,0.0,0.0,0,0,0
NJ Maddinson,20,21,3,3,6.666666666666667,95.23809523809523,21,15,4,4,0,71.42857142857143,19.047619047619047,5.0,0,0,0
NJ Rimmington,1,1,1,0,1.0,100.0,1,0,0,0,0,0.0,0.0,1.0,0,0,0
NK Patel,121,124,6,5,24.2,97.58064516129032,124,61,15,14,1,49.193548387096776,12.096774193548388,8.066666666666666,1,1,0
NL McCullum,26,23,2,3,8.666666666666666,113.04347826086956,23,8,1,0,1,34.78260869565217,4.3478260869565215,26.0,0,0,0
NLTC Perera,424,326,30,24,17.666666666666668,130.06134969325154,326,129,49,23,26,39.57055214723926,15.030674846625766,8.653061224489797,5,0,0
NM Coulter-Nile,82,75,16,10,8.2,109.33333333333333,75,39,11,7,4,52.0,14.666666666666666,7.454545454545454,0,0,0
NS Naik,31,53,4,4,7.75,58.490566037735846,53,31,2,2,0,58.490566037735846,3.7735849056603774,15.5,0,0,0
NT Ellis,19,26,5,4,4.75,73.07692307692307,26,14,1,0,1,53.84615384615385,3.8461538461538463,19.0,0,0,0
NV Ojha,1554,1360,94,74,21.0,114.26470588235293,1360,648,200,121,79,47.647058823529406,14.705882352941178,7.77,5,6,0
Naman Dhir,140,84,7,6,23.333333333333332,166.66666666666669,84,35,22,12,10,41.66666666666667,26.190476190476193,6.363636363636363,1,1,0
Navdeep Saini,33,38,7,4,8.25,86.8421052631579,38,17,3,3,0,44.73684210526316,7.894736842105263,11.0,0,0,0
Naveen-ul-Haq,18,26,4,2,9.0,69.23076923076923,26,16,2,2,0,61.53846153846154,7.6923076923076925,9.0,0,0,0
Nithish Kumar Reddy,303,221,11,9,33.666666666666664,137.10407239819006,221,82,36,15,21,37.10407239819005,16.289592760180994,8.416666666666666,2,2,0
Noor Ahmad,13,18,5,4,3.25,72.22222222222221,18,11,2,2,0,61.111111111111114,11.11111111111111,6.5,0,0,0
OA Shah,506,405,22,13,38.92307692307692,124.93827160493827,405,149,57,34,23,36.79012345679013,14.074074074074074,8.87719298245614,2,4,0
OC McCoy,8,5,1,0,8.0,160.0,5,2,1,0,1,40.0,20.0,8.0,0,0,0
OF Smith,51,50,6,3,17.0,102.0,50,29,6,1,5,57.99999999999999,12.0,8.5,0,0,0
P Awana,5,14,5,3,1.6666666666666667,35.714285714285715,14,9,0,0,0,64.28571428571429,0.0,5.0,0,0,0
P Chopra,8,6,1,1,8.0,133.33333333333331,6,4,2,2,0,66.66666666666666,33.33333333333333,4.0,0,0,0
P Dogra,127,141,12,12,10.583333333333334,90.0709219858156,141,63,9,4,5,44.680851063829785,6.382978723404255,14.11111111111111,1,0,0
P Dubey,23,33,2,1,23.0,69.6969696969697,33,17,2,2,0,51.515151515151516,6.0606060606060606,11.5,0,0,0
P Kumar,340,323,57,34,10.0,105.26315789473684,323,158,39,22,17,48.91640866873065,12.074303405572756,8.717948717948717,1,0,0
