Venue,Team,Matches,Wins,Win_Rate
JSCA Intl. Stadium Complex,PW,1,1,100.0
Sheikh Zayed Stadium,RCB,8,2,25.0
Sheikh Zayed Stadium,DD,1,0,0.0
Sheikh Zayed Stadium,KXIP,6,2,33.33333333333333
Sheikh Zayed Stadium,MI,12,8,66.66666666666666
Sheikh Zayed Stadium,KKR,14,7,50.0
Sheikh Zayed Stadium,RR,10,6,60.0
Sheikh Zayed Stadium,SRH,8,3,37.5
Sheikh Zayed Stadium,CSK,8,4,50.0
Sheikh Zayed Stadium,DC,6,3,50.0
Sheikh Zayed Stadium,PBKS,1,0,0.0
Sharjah Cricket Stadium,RCB,8,3,37.5
Sharjah Cricket Stadium,DD,2,1,50.0
Sharjah Cricket Stadium,KXIP,5,4,80.0
Sharjah Cricket Stadium,MI,6,3,50.0
Sharjah Cricket Stadium,KKR,8,5,62.5
Sharjah Cricket Stadium,RR,6,2,33.33333333333333
Sharjah Cricket Stadium,SRH,7,2,28.57142857142857
Sharjah Cricket Stadium,CSK,6,3,50.0
Sharjah Cricket Stadium,DC,6,4,66.66666666666666
Sharjah Cricket Stadium,PBKS,2,1,50.0
Dubai Intl. Cricket Stadium,RCB,12,7,58.333333333333336
Dubai Intl. Cricket Stadium,DD,2,1,50.0
Dubai Intl. Cricket Stadium,KXIP,8,4,50.0
Dubai Intl. Cricket Stadium,MI,10,3,30.0
Dubai Intl. Cricket Stadium,KKR,7,3,42.857142857142854
Dubai Intl. Cricket Stadium,RR,10,2,20.0
Dubai Intl. Cricket Stadium,SRH,13,7,53.84615384615385
Dubai Intl. Cricket Stadium,CSK,14,9,64.28571428571429
Dubai Intl. Cricket Stadium,DC,13,5,38.46153846153847
Dubai Intl. Cricket Stadium,PBKS,3,2,66.66666666666666
Saurashtra Cricket Assn. Stadium,RCB,2,1,50.0
Saurashtra Cricket Assn. Stadium,DD,1,1,100.0
Saurashtra Cricket Assn. Stadium,KXIP,2,2,100.0
Saurashtra Cricket Assn. Stadium,MI,1,0,0.0
Saurashtra Cricket Assn. Stadium,KKR,1,1,100.0
Saurashtra Cricket Assn. Stadium,SRH,1,1,100.0
Saurashtra Cricket Assn. Stadium,GL,10,3,30.0
Saurashtra Cricket Assn. Stadium,RPS,2,0,0.0
Green Park,DD,1,1,100.0
Green Park,MI,1,0,0.0
Green Park,KKR,1,0,0.0
Green Park,SRH,1,1,100.0
Green Park,GL,4,2,50.0
M. Chinnaswamy Stadium,RCB,29,15,51.724137931034484
M. Chinnaswamy Stadium,DD,2,0,0.0
M. Chinnaswamy Stadium,KXIP,2,0,0.0
M. Chinnaswamy Stadium,MI,3,1,33.33333333333333
M. Chinnaswamy Stadium,KKR,4,4,100.0
M. Chinnaswamy Stadium,RR,3,1,33.33333333333333
M. Chinnaswamy Stadium,SRH,3,1,33.33333333333333
M. Chinnaswamy Stadium,CSK,4,2,50.0
M. Chinnaswamy Stadium,DC,3,1,33.33333333333333
M. Chinnaswamy Stadium,PBKS,1,0,0.0
M. Chinnaswamy Stadium,LSG,2,2,100.0
M. Chinnaswamy Stadium,GT,2,1,50.0
BRSABV Ekana Stadium,RCB,1,1,100.0
BRSABV Ekana Stadium,MI,2,0,0.0
BRSABV Ekana Stadium,KKR,1,1,100.0
BRSABV Ekana Stadium,RR,1,1,100.0
BRSABV Ekana Stadium,SRH,1,0,0.0
BRSABV Ekana Stadium,CSK,2,0,0.0
BRSABV Ekana Stadium,DC,2,1,50.0
BRSABV Ekana Stadium,PBKS,2,1,50.0
BRSABV Ekana Stadium,LSG,14,7,50.0
BRSABV Ekana Stadium,GT,2,1,50.0
Barsapara Stadium,RR,3,1,33.33333333333333
Barsapara Stadium,DC,1,0,0.0
Barsapara Stadium,PBKS,2,2,100.0
Maharaja Yadvindra Cricket Stadium,MI,1,1,100.0
Maharaja Yadvindra Cricket Stadium,RR,1,1,100.0
Maharaja Yadvindra Cricket Stadium,SRH,1,1,100.0
Maharaja Yadvindra Cricket Stadium,DC,1,0,0.0
Maharaja Yadvindra Cricket Stadium,PBKS,5,1,20.0
Maharaja Yadvindra Cricket Stadium,GT,1,1,100.0
